time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
Step Information: A=10µ  (Step: 1/3)
1.152122436340233e-02	-1.773297e+01	-2.331504e+01	-3.977567e-03	-9.539756e-07
1.158122436340233e-02	-2.089859e+01	-2.683387e+01	-4.594324e-03	-1.262626e-06
1.164122436340233e-02	-2.403995e+01	-3.030278e+01	-5.202646e-03	-1.570072e-06
1.168122436340233e-02	-2.611982e+01	-3.258729e+01	-5.603395e-03	-1.773849e-06
1.172122436340233e-02	-2.818759e+01	-3.484911e+01	-6.000253e-03	-1.976500e-06
1.174122436340233e-02	-2.921679e+01	-3.597145e+01	-6.197208e-03	-2.077373e-06
1.176122436340232e-02	-3.024279e+01	-3.708806e+01	-6.393182e-03	-2.177929e-06
1.178122436340232e-02	-3.126548e+01	-3.819888e+01	-6.588160e-03	-2.282677e-06
1.180122436340232e-02	-3.228537e+01	-3.930500e+01	-6.783923e-03	-2.411681e-06
1.180276764973696e-02	-3.236341e+01	-3.938964e+01	-6.802264e-03	-2.469173e-06
1.180585422240623e-02	-3.251695e+01	-3.955650e+01	-6.856953e-03	-2.800665e-06
1.180781018675940e-02	-3.261082e+01	-3.965919e+01	-6.921795e-03	-3.315972e-06
1.181011522749184e-02	-3.271447e+01	-3.977399e+01	-7.054920e-03	-4.549182e-06
1.181257014701525e-02	-3.281750e+01	-3.989006e+01	-7.290531e-03	-6.489326e-06
1.181328441961450e-02	-3.284417e+01	-3.992085e+01	-7.380879e-03	-7.356587e-06
1.181423380694434e-02	-3.287813e+01	-3.996049e+01	-7.517132e-03	-8.639345e-06
1.181521012206660e-02	-3.291070e+01	-3.999915e+01	-7.676815e-03	-1.017117e-05
1.181532597999604e-02	-3.291440e+01	-4.000360e+01	-7.697059e-03	-1.036722e-05
1.181534752239488e-02	-3.291455e+01	-4.000390e+01	-7.701479e-03	-1.045730e-05
1.181539336075797e-02	-3.291291e+01	-4.000273e+01	-7.743442e-03	-1.083387e-05
1.181539886788878e-02	-3.291189e+01	-4.000180e+01	-7.754214e-03	-1.095939e-05
1.181540988215041e-02	-3.290758e+01	-3.999776e+01	-7.786884e-03	-1.143357e-05
1.181543191067365e-02	-3.288762e+01	-3.997891e+01	-7.947708e-03	-1.348140e-05
1.181545000503437e-02	-3.284951e+01	-3.994282e+01	-8.286360e-03	-1.726576e-05
1.181546542471296e-02	-3.277987e+01	-3.987679e+01	-8.909883e-03	-2.409125e-05
1.181547972464647e-02	-3.265479e+01	-3.975812e+01	-1.002137e-02	-3.628166e-05
1.181549393082916e-02	-3.242843e+01	-3.954340e+01	-1.202631e-02	-5.827446e-05
1.181550830742774e-02	-3.201713e+01	-3.915326e+01	-1.560108e-02	-9.817065e-05
1.181552452701481e-02	-3.122276e+01	-3.840110e+01	-2.275546e-02	-1.750229e-04
1.181553918173901e-02	-3.003963e+01	-3.728247e+01	-3.355046e-02	-2.892659e-04
1.181555518655219e-02	-2.806244e+01	-3.541738e+01	-5.194568e-02	-4.796952e-04
1.181557112051018e-02	-2.536520e+01	-3.288348e+01	-7.789334e-02	-7.383793e-04
1.181558975729577e-02	-2.172258e+01	-2.948836e+01	-1.143487e-01	-1.084971e-03
1.181560912229220e-02	-1.800829e+01	-2.605932e+01	-1.483131e-01	-1.435028e-03
1.181561182908054e-02	-1.757277e+01	-2.566214e+01	-1.519310e-01	-1.475577e-03
1.181561724265722e-02	-1.691255e+01	-2.507208e+01	-1.584150e-01	-1.535826e-03
1.181562806981059e-02	-1.586915e+01	-2.415502e+01	-1.672814e-01	-1.629480e-03
1.181563619017561e-02	-1.541378e+01	-2.377831e+01	-1.709991e-01	-1.668017e-03
1.181564701732898e-02	-1.503536e+01	-2.347322e+01	-1.740713e-01	-1.699378e-03
1.181565804092461e-02	-1.479361e+01	-2.325973e+01	-1.760922e-01	-1.721236e-03
1.181568494385593e-02	-1.449048e+01	-2.296713e+01	-1.790064e-01	-1.751046e-03
1.181572866729469e-02	-1.431297e+01	-2.279689e+01	-1.808323e-01	-1.768680e-03
1.181588232929476e-02	-1.419042e+01	-2.268034e+01	-1.819684e-01	-1.781494e-03
1.184684226454022e-02	-1.417497e+01	-2.297157e+01	-1.974901e-01	-1.936954e-03
1.188684226454022e-02	-1.418125e+01	-2.337485e+01	-2.173346e-01	-2.134750e-03
1.194684226454022e-02	-1.418969e+01	-2.398252e+01	-2.470018e-01	-2.430455e-03
1.200684226454022e-02	-1.419715e+01	-2.459356e+01	-2.765403e-01	-2.724872e-03
1.208684226454021e-02	-1.420595e+01	-2.541320e+01	-3.157113e-01	-3.115278e-03
1.218684226454021e-02	-1.421556e+01	-2.644452e+01	-3.643062e-01	-3.599586e-03
1.230684226454021e-02	-1.422553e+01	-2.768954e+01	-4.220343e-01	-4.174886e-03
1.244684226454020e-02	-1.423560e+01	-2.914766e+01	-4.885001e-01	-4.837223e-03
1.260684226454019e-02	-1.424558e+01	-3.081421e+01	-5.631728e-01	-5.581292e-03
1.276684226454019e-02	-1.425433e+01	-3.247241e+01	-6.363178e-01	-6.310096e-03
1.292684226454018e-02	-1.426211e+01	-3.411376e+01	-7.077674e-01	-7.021972e-03
1.308684226454017e-02	-1.426911e+01	-3.573008e+01	-7.773480e-01	-7.715195e-03
1.324684226454017e-02	-1.427544e+01	-3.731363e+01	-8.448825e-01	-8.388008e-03
1.342684226454016e-02	-1.428191e+01	-3.904683e+01	-9.181911e-01	-9.118321e-03
1.360684226454015e-02	-1.428774e+01	-4.071947e+01	-9.884319e-01	-9.818055e-03
1.378684226454015e-02	-1.429304e+01	-4.232243e+01	-1.055358e+00	-1.048475e-02
1.398684226454014e-02	-1.429834e+01	-4.401145e+01	-1.125539e+00	-1.118385e-02
1.418684226454013e-02	-1.430307e+01	-4.559322e+01	-1.191014e+00	-1.183607e-02
1.440684226454012e-02	-1.430767e+01	-4.719763e+01	-1.257243e+00	-1.249580e-02
1.462684226454011e-02	-1.431172e+01	-4.864868e+01	-1.317047e+00	-1.309151e-02
1.486684226454010e-02	-1.431548e+01	-5.004448e+01	-1.374561e+00	-1.366441e-02
1.500684226454010e-02	-1.431737e+01	-5.076389e+01	-1.404235e+00	-1.396000e-02
1.528684226454008e-02	-1.432055e+01	-5.198348e+01	-1.454692e+00	-1.446262e-02
1.558684226454007e-02	-1.432306e+01	-5.295280e+01	-1.495155e+00	-1.486569e-02
1.590684226454006e-02	-1.432471e+01	-5.358751e+01	-1.522310e+00	-1.513623e-02
1.626684226454005e-02	-1.432534e+01	-5.379585e+01	-1.532663e+00	-1.523943e-02
1.662684226454003e-02	-1.432466e+01	-5.346139e+01	-1.521392e+00	-1.512726e-02
1.694684226454002e-02	-1.432295e+01	-5.270842e+01	-1.493249e+00	-1.484704e-02
1.716684226454001e-02	-1.432113e+01	-5.194460e+01	-1.464117e+00	-1.455694e-02
1.728684226454000e-02	-1.431994e+01	-5.144463e+01	-1.444915e+00	-1.436573e-02
1.732684226454000e-02	-1.431951e+01	-5.126503e+01	-1.438000e+00	-1.429687e-02
1.742684226454000e-02	-1.431836e+01	-5.078797e+01	-1.419599e+00	-1.411362e-02
1.762684226453999e-02	-1.431571e+01	-4.971508e+01	-1.378078e+00	-1.370013e-02
1.792684226453998e-02	-1.431086e+01	-4.781643e+01	-1.304305e+00	-1.296545e-02
1.830684226453996e-02	-1.430315e+01	-4.493591e+01	-1.191974e+00	-1.184675e-02
1.870684226453995e-02	-1.429283e+01	-4.137018e+01	-1.052545e+00	-1.045819e-02
1.910684226453993e-02	-1.427980e+01	-3.731054e+01	-8.935255e-01	-8.874504e-03
1.950684226453991e-02	-1.426315e+01	-3.281861e+01	-7.174107e-01	-7.120559e-03
1.988684226453990e-02	-1.424223e+01	-2.821201e+01	-5.368042e-01	-5.321884e-03
1.998684226453989e-02	-1.423551e+01	-2.695246e+01	-4.874539e-01	-4.830423e-03
2.000000000000000e-02	-1.423459e+01	-2.678551e+01	-4.809099e-01	-4.765294e-03
Step Information: A=500m  (Step: 2/3)
0.000000000000000e+00	-1.550296e-22	-5.703178e-23	1.140634e-24	1.150321e-26
5.919903296864916e-07	3.925251e-06	1.072201e-05	1.293398e-08	1.149949e-10
1.664418973156859e-06	2.960523e-05	7.578575e-05	4.672080e-08	3.480472e-10
2.226731765457716e-06	5.254235e-05	1.329845e-04	6.850131e-08	4.704807e-10
2.774300602033060e-06	8.184472e-05	2.056455e-04	9.239893e-08	5.898407e-10
3.448595871089657e-06	1.274846e-04	3.183713e-04	1.254666e-07	7.370085e-10
4.275173037933645e-06	1.973410e-04	4.903643e-04	1.714823e-07	9.176808e-10
5.326112855691198e-06	3.081155e-04	7.623556e-04	2.386945e-07	1.147818e-09
6.621353304091512e-06	4.784398e-04	1.179535e-03	3.349292e-07	1.432103e-09
8.252178957259359e-06	7.460380e-04	1.833463e-03	4.771091e-07	1.791066e-09
1.027154239445180e-05	1.159513e-03	2.841596e-03	6.855734e-07	2.237128e-09
1.280569200527671e-05	1.807071e-03	4.416830e-03	9.978224e-07	2.799368e-09
1.595495867390644e-05	2.811533e-03	6.854208e-03	1.464235e-06	3.501899e-09
1.990073881963529e-05	4.382791e-03	1.065640e-02	2.170836e-06	4.388063e-09
2.481714646638377e-05	6.827853e-03	1.655421e-02	3.240786e-06	5.501420e-09
3.097502833444585e-05	1.065424e-02	2.574924e-02	4.876209e-06	6.910151e-09
3.866592846249989e-05	1.662842e-02	4.004078e-02	7.377334e-06	8.691232e-09
4.830696006380698e-05	2.599679e-02	6.232920e-02	1.122681e-05	1.095585e-08
6.038090640401600e-05	4.068568e-02	9.704165e-02	1.715778e-05	1.383449e-08
7.554898626562119e-05	6.381265e-02	1.512450e-01	2.633654e-05	1.749392e-08
9.461576244210124e-05	9.986510e-02	2.349512e-01	4.055998e-05	2.210481e-08
1.146157624421012e-04	1.459016e-01	3.407588e-01	5.863330e-05	2.688649e-08
1.346157624421012e-04	2.007135e-01	4.654207e-01	7.987211e-05	3.157109e-08
1.546157624421012e-04	2.644228e-01	6.088108e-01	1.042197e-04	3.616799e-08
1.746157624421012e-04	3.370437e-01	7.705780e-01	1.316222e-04	4.071482e-08
1.946157624421012e-04	4.185858e-01	9.503750e-01	1.620252e-04	4.524320e-08
2.146157624421012e-04	5.090548e-01	1.147858e+00	1.953727e-04	4.976803e-08
2.346157624421012e-04	6.084521e-01	1.362687e+00	2.316083e-04	5.429289e-08
2.546157624421012e-04	7.167754e-01	1.594527e+00	2.706760e-04	5.881713e-08
2.746157624421012e-04	8.340184e-01	1.843045e+00	3.125200e-04	6.333887e-08
2.946157624421012e-04	9.601710e-01	2.107912e+00	3.570857e-04	6.785600e-08
3.146157624421012e-04	1.095219e+00	2.388803e+00	4.043187e-04	7.236646e-08
3.346157624421012e-04	1.239146e+00	2.685398e+00	4.541652e-04	7.686825e-08
3.546157624421012e-04	1.391931e+00	2.997379e+00	5.065723e-04	8.135950e-08
3.746157624421012e-04	1.553550e+00	3.324432e+00	5.614875e-04	8.583838e-08
3.946157624421012e-04	1.723976e+00	3.666246e+00	6.188589e-04	9.030318e-08
4.146157624421012e-04	1.903178e+00	4.022516e+00	6.786354e-04	9.475226e-08
4.346157624421012e-04	2.091124e+00	4.392938e+00	7.407664e-04	9.918403e-08
4.546157624421012e-04	2.287777e+00	4.777213e+00	8.052019e-04	1.035970e-07
4.746157624421012e-04	2.493098e+00	5.175045e+00	8.718925e-04	1.079897e-07
4.946157624421012e-04	2.707045e+00	5.586142e+00	9.407894e-04	1.123607e-07
5.146157624421012e-04	2.929575e+00	6.010216e+00	1.011844e-03	1.167087e-07
5.346157624421012e-04	3.160641e+00	6.446981e+00	1.085010e-03	1.210325e-07
5.546157624421013e-04	3.400193e+00	6.896155e+00	1.160239e-03	1.253308e-07
5.746157624421013e-04	3.648180e+00	7.357461e+00	1.237485e-03	1.296025e-07
5.946157624421014e-04	3.904548e+00	7.830625e+00	1.316703e-03	1.338463e-07
