time	V(d)	V(g)	Id(J1)
Step Information: Vgs=-2 Rd=1.5K  (Step: 1/9)
9.197310719962081e-01	5.235780e+00	-2.000000e+00	1.315884e-03
9.999310719961992e-01	6.794294e+00	-2.000000e+00	1.320433e-03
1.000000000000000e+00	6.795634e+00	-2.000000e+00	1.320437e-03
Step Information: Vgs=-1 Rd=10K  (Step: 8/9)
0.000000000000000e+00	-2.751864e-10	-1.000000e+00	2.751829e-14
6.063107199629374e-02	2.317342e-02	-1.000000e+00	1.189448e-04
1.005310719962949e-01	3.856701e-02	-1.000000e+00	1.972054e-04
2.029310719962870e-01	7.861590e-02	-1.000000e+00	3.980006e-04
3.053310719962757e-01	1.194843e-01	-1.000000e+00	5.987137e-04
4.077310719962645e-01	1.612252e-01	-1.000000e+00	7.993396e-04
5.101310719962532e-01	2.038977e-01	-1.000000e+00	9.998723e-04
6.125310719962419e-01	2.475675e-01	-1.000000e+00	1.200305e-03
7.149310719962306e-01	2.923088e-01	-1.000000e+00	1.400631e-03
8.173310719962193e-01	3.382053e-01	-1.000000e+00	1.600842e-03
9.197310719962081e-01	3.853524e-01	-1.000000e+00	1.800927e-03
9.999310719961992e-01	4.232214e-01	-1.000000e+00	1.957540e-03
1.000000000000000e+00	4.232544e-01	-1.000000e+00	1.957675e-03
Step Information: Vgs=0 Rd=10K  (Step: 9/9)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.005310719962949e-01	2.587279e-02	0.000000e+00	1.984749e-04
2.029310719962870e-01	5.245040e-02	0.000000e+00	4.006171e-04
3.053310719962757e-01	7.925987e-02	0.000000e+00	6.027361e-04
4.077310719962645e-01	1.063075e-01	0.000000e+00	8.048314e-04
5.101310719962532e-01	1.335997e-01	0.000000e+00	1.006902e-03
6.125310719962419e-01	1.611435e-01	0.000000e+00	1.208948e-03
7.149310719962306e-01	1.889461e-01	0.000000e+00	1.410968e-03
8.173310719962193e-01	2.170149e-01	0.000000e+00	1.612961e-03
9.197310719962081e-01	2.453578e-01	0.000000e+00	1.814926e-03
9.999310719961992e-01	2.677530e-01	0.000000e+00	1.973087e-03
1.000000000000000e+00	2.677723e-01	0.000000e+00	1.973223e-03
