time	V(d)	Id(J1)
Step Information: Vgs=-5  (Step: 1/6)
8.087731071982195e-01	1.617546e+01	3.177406e-11
8.190131071981729e-01	1.638026e+01	3.194541e-11
8.292531071981263e-01	1.658506e+01	3.211721e-11
8.394931071980797e-01	1.678986e+01	3.228946e-11
8.497331071980331e-01	1.699466e+01	3.246214e-11
8.599731071979865e-01	1.719946e+01	3.263525e-11
8.702131071979399e-01	1.740426e+01	3.280878e-11
8.804531071978933e-01	1.760906e+01	3.298272e-11
8.906931071978467e-01	1.781386e+01	3.315706e-11
9.009331071978001e-01	1.801866e+01	3.333179e-11
9.111731071977535e-01	1.822346e+01	3.350690e-11
9.214131071977069e-01	1.842826e+01	3.368239e-11
9.316531071976603e-01	1.863306e+01	3.385824e-11
9.418931071976137e-01	1.883786e+01	3.403446e-11
9.521331071975671e-01	1.904266e+01	3.421102e-11
9.623731071975204e-01	1.924746e+01	3.438793e-11
9.726131071974738e-01	1.945226e+01	3.456518e-11
9.828531071974272e-01	1.965706e+01	3.474276e-11
9.930931071973806e-01	1.986186e+01	3.492067e-11
9.999931071973492e-01	1.999986e+01	3.504072e-11
1.000000000000000e+00	2.000000e+01	3.504078e-11
Step Information: Vgs=-3  (Step: 3/6)
0.000000000000000e+00	0.000000e+00	3.566274e-12
1.005310719926526e-02	2.010621e-01	2.280384e-11
2.029310719926485e-02	4.058622e-01	2.269285e-11
3.053310719926443e-02	6.106622e-01	2.260155e-11
4.077310719926732e-02	8.154622e-01	2.252792e-11
5.101310719927046e-02	1.020262e+00	2.247024e-11
6.125310719927359e-02	1.225062e+00	2.242700e-11
7.149310719927049e-02	1.429862e+00	2.239689e-11
8.173310719926652e-02	1.634662e+00	2.237877e-11
9.197310719926255e-02	1.839462e+00	2.237163e-11
1.022131071992586e-01	2.044262e+00	2.237456e-11
1.124531071992546e-01	2.249062e+00	2.238679e-11
1.226931071992506e-01	2.453862e+00	2.240760e-11
1.329331071992577e-01	2.658662e+00	2.243636e-11
1.431731071992679e-01	2.863462e+00	2.247250e-11
1.534131071992782e-01	3.068262e+00	2.251551e-11
1.636531071992884e-01	3.273062e+00	2.256493e-11
1.738931071992987e-01	3.477862e+00	2.262033e-11
1.841331071993089e-01	3.682662e+00	2.268133e-11
1.943731071993191e-01	3.887462e+00	2.274758e-11
2.046131071993294e-01	4.092262e+00	2.281876e-11
2.148531071993396e-01	4.297062e+00	2.289459e-11
2.250931071993499e-01	4.501862e+00	2.297479e-11
2.353331071993601e-01	4.706662e+00	2.305912e-11
2.455731071993703e-01	4.911462e+00	2.314735e-11
2.558131071993806e-01	5.116262e+00	2.323928e-11
2.660531071993908e-01	5.321062e+00	2.333469e-11
2.762931071994010e-01	5.525862e+00	2.343343e-11
2.865331071994113e-01	5.730662e+00	2.353531e-11
2.967731071994215e-01	5.935462e+00	2.364018e-11
3.070131071994318e-01	6.140262e+00	2.374791e-11
3.172531071994420e-01	6.345062e+00	2.385834e-11
3.274931071994522e-01	6.549862e+00	2.397137e-11
3.377331071994625e-01	6.754662e+00	2.408686e-11
3.479731071994727e-01	6.959462e+00	2.420471e-11
3.582131071994830e-01	7.164262e+00	2.432482e-11
3.684531071994932e-01	7.369062e+00	2.444709e-11
