time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
1.297944101124759e-03	1.427363e+01	2.025452e+01	1.807829e-01	1.772149e-03
1.298026577707562e-03	1.420556e+01	2.018989e+01	1.813791e-01	1.779276e-03
1.298129851676861e-03	1.418131e+01	2.016783e+01	1.815873e-01	1.782192e-03
1.299823530152632e-03	1.417003e+01	2.017854e+01	1.825308e-01	1.792008e-03
1.578896316941840e-03	1.420841e+01	2.380616e+01	3.271634e-01	3.232535e-03
1.838896316941841e-03	1.423179e+01	2.718067e+01	4.621222e-01	4.576698e-03
2.138896316941842e-03	1.425192e+01	3.100932e+01	6.152376e-01	6.101703e-03
2.498896316941843e-03	1.427052e+01	3.542807e+01	7.918839e-01	7.861074e-03
2.918896316941844e-03	1.428738e+01	4.022947e+01	9.838263e-01	9.772798e-03
3.338896316941845e-03	1.430058e+01	4.454156e+01	1.156340e+00	1.149102e-02
3.758896316941846e-03	1.431097e+01	4.827240e+01	1.305852e+00	1.298016e-02
4.178896316941847e-03	1.431897e+01	5.134795e+01	1.429470e+00	1.421141e-02
4.598896316941848e-03	1.432486e+01	5.370987e+01	1.524896e+00	1.516189e-02
5.018896316941849e-03	1.432877e+01	5.531446e+01	1.590399e+00	1.581435e-02
5.438896316941850e-03	1.433079e+01	5.613242e+01	1.624806e+00	1.615711e-02
5.858896316941851e-03	1.433094e+01	5.614874e+01	1.627503e+00	1.618405e-02
6.278896316941852e-03	1.432925e+01	5.536267e+01	1.598437e+00	1.589466e-02
6.698896316941853e-03	1.432566e+01	5.378752e+01	1.538115e+00	1.529397e-02
7.058896316941854e-03	1.432103e+01	5.182952e+01	1.462315e+00	1.453911e-02
7.478896316941855e-03	1.431370e+01	4.887081e+01	1.347135e+00	1.339205e-02
7.878896316941853e-03	1.430458e+01	4.542242e+01	1.212420e+00	1.205044e-02
8.278896316941836e-03	1.429305e+01	4.141342e+01	1.055463e+00	1.048730e-02
8.678896316941820e-03	1.427850e+01	3.690604e+01	8.787525e-01	8.727423e-03
9.078896316941804e-03	1.425975e+01	3.196960e+01	6.851039e-01	6.798855e-03
9.458896316941788e-03	1.423562e+01	2.694986e+01	4.882793e-01	4.838660e-03
9.818896316941774e-03	1.420109e+01	2.195435e+01	2.929604e-01	2.893487e-03
9.998896316941766e-03	1.417359e+01	1.937932e+01	1.929895e-01	1.897921e-03
1.011889631694176e-02	1.414525e+01	1.762611e+01	1.258574e-01	1.229466e-03
1.015889631694176e-02	1.413168e+01	1.702851e+01	1.034887e-01	1.006895e-03
1.017889631694176e-02	1.412300e+01	1.672325e+01	9.234430e-02	8.960962e-04
1.019889631694176e-02	1.411023e+01	1.640637e+01	8.127746e-02	7.863184e-04
1.021889631694176e-02	1.409587e+01	1.606433e+01	7.045475e-02	6.790910e-04
1.023889631694176e-02	1.409171e+01	1.569089e+01	6.006543e-02	5.750995e-04
1.025889631694176e-02	1.408284e+01	1.529913e+01	4.984733e-02	4.731061e-04
1.027889631694175e-02	1.406441e+01	1.490198e+01	3.963939e-02	3.718647e-04
1.029889631694175e-02	1.404277e+01	1.449987e+01	2.951941e-02	2.712986e-04
1.031889631694175e-02	1.400376e+01	1.408594e+01	1.948005e-02	1.721312e-04
1.033889631694175e-02	1.394832e+01	1.365654e+01	9.742728e-03	7.470323e-05
1.033901350444175e-02	1.394741e+01	1.365404e+01	9.685003e-03	7.413197e-05
1.034223853735011e-02	1.392926e+01	1.357717e+01	8.177993e-03	5.923746e-05
1.034538857495966e-02	1.390421e+01	1.349521e+01	6.748291e-03	4.540598e-05
1.035174817533874e-02	1.383786e+01	1.331698e+01	4.097803e-03	1.880836e-05
1.035230374349868e-02	1.382858e+01	1.329832e+01	3.893183e-03	1.680427e-05
1.035293867853860e-02	1.381675e+01	1.327589e+01	3.667565e-03	1.462760e-05
1.035430746874643e-02	1.378854e+01	1.322530e+01	3.218431e-03	1.016606e-05
1.035456147107624e-02	1.378273e+01	1.321543e+01	3.140555e-03	9.388297e-06
1.035460360223785e-02	1.378335e+01	1.321531e+01	3.122509e-03	9.104348e-06
1.035466513014613e-02	1.379088e+01	1.322139e+01	3.037725e-03	8.051110e-06
1.035474129451379e-02	1.381028e+01	1.323791e+01	2.792296e-03	5.829416e-06
1.035482129993755e-02	1.383513e+01	1.325879e+01	2.512599e-03	3.136676e-06
1.035484130129350e-02	1.384019e+01	1.326285e+01	2.464188e-03	2.581602e-06
1.035488130400538e-02	1.384692e+01	1.326772e+01	2.380538e-03	1.802580e-06
1.035494774867389e-02	1.385397e+01	1.327210e+01	2.288270e-03	8.876525e-07
1.035501924790037e-02	1.385730e+01	1.327317e+01	2.231711e-03	2.758279e-07
