v1	V(a)	V(vcc)	I(R1)
1.070000000000000e+02	1.065829e+02	1.070000e+02	8.874523e-05
1.080000000000000e+02	1.075790e+02	1.080000e+02	8.957463e-05
1.090000000000000e+02	1.085751e+02	1.090000e+02	9.040402e-05
1.100000000000000e+02	1.095712e+02	1.100000e+02	9.123341e-05
1.110000000000000e+02	1.105673e+02	1.110000e+02	9.206282e-05
1.120000000000000e+02	1.115634e+02	1.120000e+02	9.289221e-05
1.130000000000000e+02	1.125595e+02	1.130000e+02	9.372160e-05
1.140000000000000e+02	1.135556e+02	1.140000e+02	9.455100e-05
1.150000000000000e+02	1.145517e+02	1.150000e+02	9.538039e-05
1.160000000000000e+02	1.155478e+02	1.160000e+02	9.620978e-05
1.170000000000000e+02	1.165439e+02	1.170000e+02	9.703918e-05
1.180000000000000e+02	1.175400e+02	1.180000e+02	9.786858e-05
1.190000000000000e+02	1.185361e+02	1.190000e+02	9.869797e-05
1.200000000000000e+02	1.195322e+02	1.200000e+02	9.952737e-05
1.210000000000000e+02	1.205283e+02	1.210000e+02	1.003568e-04
1.220000000000000e+02	1.215244e+02	1.220000e+02	1.011862e-04
1.230000000000000e+02	1.225205e+02	1.230000e+02	1.020155e-04
1.240000000000000e+02	1.235166e+02	1.240000e+02	1.028449e-04
1.250000000000000e+02	1.245127e+02	1.250000e+02	1.036743e-04
1.260000000000000e+02	1.255088e+02	1.260000e+02	1.045037e-04
1.270000000000000e+02	1.265049e+02	1.270000e+02	1.053331e-04
1.280000000000000e+02	1.275010e+02	1.280000e+02	1.061625e-04
1.290000000000000e+02	1.284971e+02	1.290000e+02	1.069919e-04
1.300000000000000e+02	1.294932e+02	1.300000e+02	1.078213e-04
1.310000000000000e+02	1.304893e+02	1.310000e+02	1.086507e-04
1.320000000000000e+02	1.314854e+02	1.320000e+02	1.094801e-04
1.330000000000000e+02	1.324816e+02	1.330000e+02	1.103095e-04
1.340000000000000e+02	1.334776e+02	1.340000e+02	1.111389e-04
1.350000000000000e+02	1.344738e+02	1.350000e+02	1.119683e-04
1.360000000000000e+02	1.354698e+02	1.360000e+02	1.127977e-04
1.370000000000000e+02	1.364660e+02	1.370000e+02	1.136271e-04
1.380000000000000e+02	1.374621e+02	1.380000e+02	1.144565e-04
1.390000000000000e+02	1.384582e+02	1.390000e+02	1.152859e-04
1.400000000000000e+02	1.394543e+02	1.400000e+02	1.161153e-04
1.410000000000000e+02	1.404504e+02	1.410000e+02	1.169447e-04
1.420000000000000e+02	1.414465e+02	1.420000e+02	1.177740e-04
1.430000000000000e+02	1.424426e+02	1.430000e+02	1.186034e-04
1.440000000000000e+02	1.434387e+02	1.440000e+02	1.194328e-04
1.450000000000000e+02	1.444348e+02	1.450000e+02	1.202622e-04
1.460000000000000e+02	1.454309e+02	1.460000e+02	1.210916e-04
1.470000000000000e+02	1.464270e+02	1.470000e+02	1.219210e-04
1.480000000000000e+02	1.474231e+02	1.480000e+02	1.227504e-04
1.490000000000000e+02	1.484192e+02	1.490000e+02	1.235798e-04
1.500000000000000e+02	1.494153e+02	1.500000e+02	1.244092e-04
1.510000000000000e+02	1.504114e+02	1.510000e+02	1.252386e-04
1.520000000000000e+02	1.514075e+02	1.520000e+02	1.260680e-04
