time	V(a1)	V(g)	V(l) Step Information: A=10µ  (Step: 1/3)
1.279999928271991e-08	3.501857e-04	5.982569e-06	3.616256e-06
2.559999856543982e-08	7.167695e-04	1.409343e-05	6.179248e-06
5.119999713087964e-08	1.473022e-03	3.272863e-05	9.356718e-06
7.567377756953674e-08	2.214155e-03	5.065768e-05	1.093117e-05
1.092359145972656e-07	3.247168e-03	7.215516e-05	1.208908e-05
1.445550348077061e-07	4.342734e-03	9.014309e-05	1.274738e-05
2.077619122465934e-07	6.311253e-03	1.123581e-04	1.346650e-05
5.117359876097740e-07	1.580040e-02	1.417988e-04	1.541897e-05
1.702127682867824e-06	5.299180e-02	1.502298e-04	2.167986e-05
2.775956984618625e-06	8.655310e-02	1.562738e-04	2.730854e-05
4.923615588120228e-06	1.537076e-01	1.683217e-04	3.856654e-05
9.218932795123433e-06	2.881438e-01	1.922157e-04	6.107910e-05
1.780956720912984e-05	5.575207e-01	2.392833e-04	1.061009e-04
3.499083603714266e-05	1.097824e+00	3.328048e-04	1.963330e-04
5.499083603714266e-05	1.729106e+00	4.419542e-04	3.017957e-04
7.499083603714266e-05	2.363085e+00	5.514988e-04	4.077180e-04
9.499083603714266e-05	2.999804e+00	6.614369e-04	5.140908e-04
1.149908360371427e-04	3.639204e+00	7.717597e-04	6.209044e-04
1.349908360371427e-04	4.281229e+00	8.824621e-04	7.281498e-04
1.549908360371427e-04	4.925820e+00	9.935342e-04	8.358172e-04
1.749908360371426e-04	5.572922e+00	1.104970e-03	9.438976e-04
1.949908360371426e-04	6.222476e+00	1.216759e-03	1.052381e-03
2.149908360371426e-04	6.874426e+00	1.328895e-03	1.161259e-03
2.349908360371426e-04	7.528716e+00	1.441368e-03	1.270522e-03
2.549908360371426e-04	8.185289e+00	1.554170e-03	1.380161e-03
2.749908360371426e-04	8.844091e+00	1.667292e-03	1.490165e-03
2.949908360371426e-04	9.505065e+00	1.780726e-03	1.600527e-03
3.149908360371426e-04	1.016816e+01	1.894463e-03	1.711237e-03
3.349908360371426e-04	1.083331e+01	2.008495e-03	1.822285e-03
3.549908360371426e-04	1.150047e+01	2.122812e-03	1.933664e-03
3.949908360371426e-04	1.284059e+01	2.352269e-03	2.157374e-03
