time	V(D,G)	V(a1)	V(l)
2.072764471671555e-03	1.408283e+01	2.404549e+00	1.823005e+00
2.081110003176963e-03	1.406916e+01	2.400682e+00	1.818812e+00
2.095602706798619e-03	1.403810e+01	2.395925e+00	1.813603e+00
2.110716759597354e-03	1.398562e+01	2.393667e+00	1.811031e+00
2.124763950568071e-03	1.390766e+01	2.393934e+00	1.812050e+00
2.126323462321970e-03	1.389659e+01	2.394305e+00	1.812402e+00
2.127902869033577e-03	1.388485e+01	2.394749e+00	1.812813e+00
2.131061682456791e-03	1.385959e+01	2.395816e+00	1.813786e+00
2.137398729765974e-03	1.380248e+01	2.398287e+00	1.816292e+00
2.138758162158852e-03	1.378924e+01	2.398918e+00	1.816911e+00
2.139214321742392e-03	1.378474e+01	2.399134e+00	1.817124e+00
2.139248224312695e-03	1.378442e+01	2.399145e+00	1.817137e+00
2.139292620750021e-03	1.378414e+01	2.399125e+00	1.817140e+00
2.139341120808745e-03	1.378447e+01	2.398999e+00	1.817035e+00
2.139392925870663e-03	1.378611e+01	2.398760e+00	1.816726e+00
2.139449128542926e-03	1.378856e+01	2.398522e+00	1.816481e+00
2.139478138852542e-03	1.378962e+01	2.398457e+00	1.816439e+00
2.139516943432352e-03	1.379064e+01	2.398429e+00	1.816407e+00
2.139559751241479e-03	1.379133e+01	2.398424e+00	1.816408e+00
2.139611637461925e-03	1.379172e+01	2.398435e+00	1.816418e+00
2.139652929742923e-03	1.379177e+01	2.398451e+00	1.816436e+00
2.139694466811639e-03	1.379166e+01	2.398470e+00	1.816454e+00
2.139736390372077e-03	1.379144e+01	2.398492e+00	1.816476e+00
2.139781377558975e-03	1.379112e+01	2.398516e+00	1.816499e+00
2.139824769992671e-03	1.379075e+01	2.398540e+00	1.816524e+00
2.139864779567685e-03	1.379037e+01	2.398563e+00	1.816546e+00
2.139906939857472e-03	1.378995e+01	2.398588e+00	1.816571e+00
2.140010415351295e-03	1.378884e+01	2.398649e+00	1.816631e+00
2.140226060697380e-03	1.378642e+01	2.398777e+00	1.816757e+00
2.159304461831899e-03	1.357065e+01	2.410131e+00	1.827947e+00
2.171321488377200e-03	1.343676e+01	2.417260e+00	1.834977e+00
2.191321488377200e-03	1.321657e+01	2.429097e+00	1.846647e+00
2.211321488377200e-03	1.299963e+01	2.440896e+00	1.858278e+00
2.371321488377200e-03	1.138799e+01	2.533675e+00	1.949764e+00
2.531321488377201e-03	9.977492e+00	2.623238e+00	2.038136e+00
2.691321488377201e-03	8.743829e+00	2.709142e+00	2.122946e+00
2.851321488377202e-03	7.665641e+00	2.790982e+00	2.203782e+00
3.011321488377202e-03	6.724160e+00	2.868383e+00	2.280268e+00
3.171321488377202e-03	5.902897e+00	2.941004e+00	2.352058e+00
3.311321488377203e-03	5.271472e+00	3.000382e+00	2.410775e+00
3.451321488377203e-03	4.712371e+00	3.055671e+00	2.465462e+00
3.591321488377203e-03	4.217914e+00	3.106696e+00	2.515944e+00
3.731321488377204e-03	3.781237e+00	3.153298e+00	2.562060e+00
3.871321488377204e-03	3.396208e+00	3.195335e+00	2.603665e+00
4.011321488377204e-03	3.057346e+00	3.232675e+00	2.640628e+00
4.151321488377204e-03	2.759748e+00	3.265204e+00	2.672832e+00
4.291321488377205e-03	2.499034e+00	3.292821e+00	2.700177e+00
4.431321488377205e-03	2.271281e+00	3.315438e+00	2.722572e+00
4.571321488377206e-03	2.072982e+00	3.332980e+00	2.739944e+00
4.711321488377206e-03	1.900997e+00	3.345385e+00	2.752229e+00
4.851321488377206e-03	1.752514e+00	3.352605e+00	2.759380e+00
4.991321488377207e-03	1.625014e+00	3.354604e+00	2.761360e+00
5.131321488377207e-03	1.516239e+00	3.351357e+00	2.758144e+00
5.271321488377207e-03	1.424165e+00	3.342852e+00	2.749721e+00
5.411321488377208e-03	1.346975e+00	3.329088e+00	2.736091e+00
5.551321488377208e-03	1.283039e+00	3.310079e+00	2.717266e+00
5.691321488377209e-03	1.230892e+00	3.285846e+00	2.693271e+00
5.831321488377209e-03	1.189217e+00	3.256423e+00	2.664139e+00
5.991321488377209e-03	1.152896e+00	3.216499e+00	2.624617e+00
6.151321488377210e-03	1.127129e+00	3.169941e+00	2.578533e+00
6.311321488377210e-03	1.110509e+00	3.116849e+00	2.525994e+00
6.491321488377211e-03	1.101197e+00	3.049461e+00	2.459322e+00
6.691321488377211e-03	1.100674e+00	2.965302e+00	2.376087e+00
6.911321488377212e-03	1.109880e+00	2.861793e+00	2.273760e+00
7.171321488377212e-03	1.131127e+00	2.725309e+00	2.138916e+00
7.491321488377213e-03	1.168491e+00	2.537471e+00	1.953516e+00
7.931321488377210e-03	1.232199e+00	2.246491e+00	1.666812e+00
8.371321488377192e-03	1.301654e+00	1.922218e+00	1.348280e+00
8.811321488377174e-03	1.369461e+00	1.569861e+00	1.003974e+00
9.239758988377159e-03	1.428151e+00	1.204023e+00	6.502271e-01
9.421024238369925e-03	1.449517e+00	1.042856e+00	4.966638e-01
9.421404172561336e-03	1.449569e+00	1.044062e+00	4.963309e-01
9.421790397366592e-03	1.449769e+00	1.052554e+00	4.958451e-01
9.421966748222706e-03	1.450221e+00	1.068949e+00	4.952520e-01
9.422080420082597e-03	1.450989e+00	1.096882e+00	4.943824e-01
9.422166965813694e-03	1.452130e+00	1.139893e+00	4.931545e-01
9.422251110165550e-03	1.454070e+00	1.216075e+00	4.911180e-01
9.422344439935159e-03	1.457829e+00	1.362259e+00	4.872311e-01
9.422435752345500e-03	1.464165e+00	1.606541e+00	4.807415e-01
9.422533913578109e-03	1.475607e+00	2.052371e+00	4.691162e-01
9.422648526227137e-03	1.498047e+00	2.914509e+00	4.464789e-01
9.422780387548494e-03	1.540204e+00	4.446542e+00	4.042535e-01
9.422918470158883e-03	1.604164e+00	6.617860e+00	3.407439e-01
9.423025218233051e-03	1.662994e+00	8.574657e+00	2.830652e-01
9.423146116007817e-03	1.730497e+00	1.080480e+01	2.178957e-01
9.423272578749342e-03	1.792994e+00	1.287424e+01	1.587144e-01
9.423379389287787e-03	1.835622e+00	1.429226e+01	1.192069e-01
9.423478324946517e-03	1.866594e+00	1.528892e+01	9.105189e-02
9.423599997770333e-03	1.895090e+00	1.618160e+01	6.574172e-02
9.423729945881030e-03	1.916614e+00	1.684344e+01	4.721717e-02
9.423883648023386e-03	1.933936e+00	1.737832e+01	3.298860e-02
9.423966092520159e-03	1.940774e+00	1.757939e+01	2.762948e-02
9.424072485489184e-03	1.947877e+00	1.776594e+01	2.231137e-02
9.424169884236947e-03	1.953107e+00	1.789660e+01	1.862842e-02
9.424275283869127e-03	1.957772e+00	1.800351e+01	1.557089e-02
