time	V(a)	V(a1)
5.211813203323622e-02	1.737278e-01	-1.584811e+01
5.213813203323622e-02	1.737944e-01	-1.597467e+01
5.217813203323622e-02	1.739278e-01	-1.622588e+01
5.227813203323622e-02	1.742611e-01	-1.684257e+01
5.269813203323620e-02	1.756611e-01	-1.924435e+01
5.299813203323619e-02	1.766611e-01	-2.075731e+01
5.329813203323618e-02	1.776611e-01	-2.208605e+01
5.361813203323616e-02	1.787277e-01	-2.328706e+01
5.393813203323615e-02	1.797944e-01	-2.425295e+01
5.425813203323614e-02	1.808611e-01	-2.497396e+01
5.457813203323612e-02	1.819277e-01	-2.544281e+01
5.489813203323611e-02	1.829944e-01	-2.565477e+01
5.521813203323610e-02	1.840611e-01	-2.560769e+01
5.553813203323608e-02	1.851277e-01	-2.530205e+01
5.585813203323607e-02	1.861944e-01	-2.474094e+01
5.617813203323606e-02	1.872611e-01	-2.393003e+01
5.649813203323605e-02	1.883277e-01	-2.287749e+01
5.679813203323603e-02	1.893277e-01	-2.168071e+01
5.709813203323602e-02	1.903277e-01	-2.029152e+01
5.739813203323601e-02	1.913277e-01	-1.872223e+01
5.769813203323600e-02	1.923277e-01	-1.698678e+01
5.775813203323599e-02	1.925277e-01	-1.662107e+01
5.779813203323599e-02	1.926611e-01	-1.637397e+01
5.783813203323599e-02	1.927944e-01	-1.612426e+01
5.827813203323597e-02	1.942610e-01	-1.321836e+01
5.871813203323595e-02	1.957277e-01	-1.006029e+01
5.915813203323594e-02	1.971944e-01	-6.710295e+00
5.959813203323592e-02	1.986610e-01	-3.232289e+00
5.997813203323590e-02	1.999277e-01	-1.764697e-01
6.005813203323590e-02	2.001944e-01	4.686379e-01
6.041813203323589e-02	2.013944e-01	3.362113e+00
6.083813203323587e-02	2.027944e-01	6.680970e+00
6.097813203323586e-02	2.032610e-01	7.764246e+00
6.139813203323585e-02	2.046610e-01	1.091574e+01
6.181813203323583e-02	2.060610e-01	1.387746e+01
6.223813203323581e-02	2.074610e-01	1.659793e+01
6.227813203323581e-02	2.075944e-01	1.684267e+01
6.235813203323581e-02	2.078610e-01	1.732409e+01
6.279813203323589e-02	2.093277e-01	1.976850e+01
6.309813203323598e-02	2.103277e-01	2.122148e+01
6.339813203323608e-02	2.113277e-01	2.248612e+01
6.369813203323617e-02	2.123277e-01	2.355120e+01
6.401813203323627e-02	2.133943e-01	2.445670e+01
6.433813203323636e-02	2.144610e-01	2.511526e+01
