time	V(C,E)	V(p1)	Ic(Q1)
Step Information: Ib=11µ  (Step: 1/6)
7.736310719962242e-01	3.643347e-01	1.131845e+03	7.758914e-03
7.972310719962216e-01	1.197977e+00	1.013845e+03	7.831797e-03
8.173310719962193e-01	1.920490e+00	9.133447e+02	7.894906e-03
8.600310719962146e-01	3.494693e+00	6.998447e+02	8.032414e-03
9.135310719962088e-01	5.546174e+00	4.323446e+02	8.211616e-03
9.197310719962081e-01	5.789849e+00	4.013446e+02	8.232902e-03
9.840310719962010e-01	8.393549e+00	7.984464e+01	8.460344e-03
9.999310719961992e-01	9.059723e+00	3.446400e-01	8.518537e-03
1.000000000000000e+00	9.062626e+00	1.000000e-08	8.518790e-03
Step Information: Ib=40µ  (Step: 6/6)
0.000000000000000e+00	-2.746941e-02	5.000000e+03	1.962245e-03
4.643107199629333e-02	-2.574544e-02	4.767845e+03	2.055282e-03
8.433107199629442e-02	-2.424783e-02	4.578345e+03	2.138036e-03
1.005310719962949e-01	-2.358052e-02	4.497345e+03	2.175479e-03
1.275310719962953e-01	-2.242926e-02	4.362345e+03	2.240889e-03
1.557310719962922e-01	-2.117084e-02	4.221345e+03	2.313547e-03
1.876310719962887e-01	-1.967184e-02	4.061845e+03	2.401641e-03
2.029310719962870e-01	-1.892209e-02	3.985345e+03	2.446320e-03
2.389310719962830e-01	-1.707156e-02	3.805345e+03	2.558312e-03
2.770310719962789e-01	-1.496634e-02	3.614845e+03	2.688586e-03
3.053310719962757e-01	-1.329195e-02	3.473345e+03	2.794287e-03
3.454310719962713e-01	-1.073381e-02	3.272845e+03	2.959147e-03
3.858310719962669e-01	-7.900335e-03	3.070845e+03	3.146177e-03
4.077310719962645e-01	-6.239381e-03	2.961345e+03	3.257804e-03
4.475310719962601e-01	-2.956063e-03	2.762345e+03	3.482366e-03
4.864310719962558e-01	6.463528e-04	2.567845e+03	3.733956e-03
5.101310719962532e-01	3.071580e-03	2.449345e+03	3.905894e-03
5.467310719962492e-01	7.236812e-03	2.266345e+03	4.204930e-03
5.815310719962453e-01	1.178429e-02	2.092345e+03	4.535083e-03
6.125310719962419e-01	1.645825e-02	1.937345e+03	4.876141e-03
6.432310719962385e-01	2.184831e-02	1.783845e+03	5.268516e-03
6.716310719962354e-01	2.773978e-02	1.641845e+03	5.692206e-03
6.976310719962325e-01	3.418587e-02	1.511845e+03	6.144494e-03
7.149310719962306e-01	3.923798e-02	1.425345e+03	6.487379e-03
7.366310719962282e-01	4.678599e-02	1.316845e+03	6.975402e-03
7.557310719962261e-01	5.504432e-02	1.221345e+03	7.469558e-03
7.721310719962243e-01	6.401616e-02	1.139345e+03	7.952637e-03
7.859310719962228e-01	7.376159e-02	1.070345e+03	8.409272e-03
7.971310719962216e-01	8.419440e-02	1.014345e+03	8.818832e-03
8.059310719962206e-01	9.523679e-02	9.703447e+02	9.167782e-03
8.126310719962199e-01	1.067831e-01	9.368447e+02	9.450130e-03
8.173310719962193e-01	1.179684e-01	9.133447e+02	9.656211e-03
8.210310719962189e-01	1.302472e-01	8.948447e+02	9.821771e-03
8.237310719962186e-01	1.429789e-01	8.813447e+02	9.942680e-03
8.257310719962184e-01	1.564692e-01	8.713447e+02	1.003025e-02
8.272310719962183e-01	1.710080e-01	8.638447e+02	1.009257e-02
