time	V(b1)	V(b2)	V(e)	V(rpot)	I(R3)	I(R4)	Ix(U1:B2)	Ix(U1:E)
1.327998856020945e-04	5.766184e-01	1.930551e+01	2.776413e+00	5.311995e+02	6.944902e-03	2.620993e-02	6.944902e-03	1.926417e-02
1.341737977111762e-04	4.374952e-01	1.929237e+01	2.413385e+00	5.366952e+02	7.076263e-03	1.988615e-02	7.076263e-03	1.280867e-02
1.357668190924977e-04	3.371855e-01	1.928438e+01	2.182485e+00	5.430673e+02	7.156239e-03	1.532661e-02	7.156239e-03	8.169805e-03
1.375395194803397e-04	2.469414e-01	1.928030e+01	2.045004e+00	5.501581e+02	7.196976e-03	1.122461e-02	7.196976e-03	4.027621e-03
1.375636339434466e-04	2.334300e-01	1.928055e+01	2.044307e+00	5.502545e+02	7.194533e-03	1.061046e-02	7.194533e-03	3.415924e-03
1.375637281405689e-04	2.333292e-01	1.928055e+01	2.044307e+00	5.502549e+02	7.194512e-03	1.060587e-02	7.194512e-03	3.411360e-03
1.375639165348136e-04	2.331222e-01	1.928055e+01	2.044307e+00	5.502557e+02	7.194462e-03	1.059646e-02	7.194462e-03	3.401989e-03
1.375642933233029e-04	2.326743e-01	1.928056e+01	2.044307e+00	5.502572e+02	7.194356e-03	1.057610e-02	7.194356e-03	3.381719e-03
1.375650469002815e-04	2.316120e-01	1.928059e+01	2.044308e+00	5.502602e+02	7.194099e-03	1.052782e-02	7.194099e-03	3.333309e-03
1.375665540542248e-04	2.279624e-01	1.928069e+01	2.044316e+00	5.502662e+02	7.193146e-03	1.036193e-02	7.193146e-03	3.167724e-03
1.375695683621114e-04	2.144884e-01	1.928108e+01	2.044349e+00	5.502783e+02	7.189183e-03	9.749471e-03	7.189183e-03	2.560015e-03
1.375710093990679e-04	2.004883e-01	1.928169e+01	2.044381e+00	5.502841e+02	7.183095e-03	9.113106e-03	7.183095e-03	1.930099e-03
1.375723887524910e-04	1.805187e-01	1.928423e+01	2.044440e+00	5.502896e+02	7.157679e-03	8.205393e-03	7.157679e-03	1.047769e-03
1.375741481385861e-04	1.609176e-01	1.929201e+01	2.044546e+00	5.502966e+02	7.079927e-03	7.314435e-03	7.079927e-03	2.345133e-04
1.375758852728837e-04	1.533648e-01	1.930315e+01	2.044668e+00	5.503035e+02	6.968478e-03	6.971126e-03	6.968478e-03	2.649005e-06
1.375777479614287e-04	1.504825e-01	1.931599e+01	2.044803e+00	5.503110e+02	6.840113e-03	6.840115e-03	6.840113e-03	2.643067e-09
1.375799229876018e-04	1.473308e-01	1.933031e+01	2.044962e+00	5.503197e+02	6.696854e-03	6.696854e-03	6.696854e-03	-1.935430e-11
1.375842730399479e-04	1.414955e-01	1.935684e+01	2.045278e+00	5.503371e+02	6.431613e-03	6.431613e-03	6.431613e-03	-2.241607e-11
1.375929731446401e-04	1.313687e-01	1.940287e+01	2.045911e+00	5.503719e+02	5.971303e-03	5.971303e-03	5.971303e-03	-2.362122e-11
1.376103733540107e-04	1.152615e-01	1.947608e+01	2.047177e+00	5.504415e+02	5.239161e-03	5.239161e-03	5.239161e-03	-2.553670e-11
